text,clause_type,label,source
Either party may terminate this Agreement by providing thirty (30) days written notice to the other party.,Termination,0,real_template
Either party can terminate this Agreement by providing thirty (30) days written notice to the other party.,Termination,0,augmented
Either party can terminate this Agreement by providing thirty (30) days written notice to the other party.,Termination,0,augmented
"For the avoidance of doubt, either party can terminate this agreement by providing sixty (60) days written notice to the other party.",Termination,0,augmented
"Subject to the terms and conditions of this Agreement, either party can terminate this agreement by providing thirty (30) days written notice to the other party.",Termination,0,augmented
Either party can terminate this Agreement by providing thirty (30) days written notice to the other party.,Termination,0,augmented
It is expressly understood and agreed that either party may terminate this agreement by providing thirty (30) days written notice to the other party.,Termination,0,augmented
Either party may terminate this Agreement by providing sixty (60) days written notice to the other party.,Termination,0,augmented
"Subject to the terms and conditions of this Agreement, either party may terminate this agreement by providing thirty (30) days written notice to the other party.",Termination,0,augmented
Either party can terminate this Agreement by providing thirty (30) days written notice to the other party.,Termination,0,augmented
Either party can terminate this Agreement by providing thirty (30) days written notice to the other party.,Termination,0,augmented
Either party can terminate this Agreement by providing sixty (60) days written notice to the other party.,Termination,0,augmented
"For the avoidance of doubt, either party can terminate this agreement by providing sixty (60) days written notice to the other party.",Termination,0,augmented
Either party can terminate this Agreement by providing thirty (30) days written notice to the other party.,Termination,0,augmented
Either party can terminate this Agreement by providing sixty (60) days written notice to the other party.,Termination,0,augmented
"Notwithstanding any other provision herein, either party may terminate this agreement by providing sixty (60) days written notice to the other party.",Termination,0,augmented
Either party can terminate this Agreement by providing thirty (30) days written notice to the other party.,Termination,0,augmented
"For the avoidance of doubt, either party can terminate this agreement by providing thirty (30) days written notice to the other party.",Termination,0,augmented
Either party may terminate this Agreement by providing sixty (60) days written notice to the other party.,Termination,0,augmented
Either party may terminate this Agreement by providing thirty (30) days written notice to the other party.,Termination,0,augmented
Either party may terminate this Agreement by providing thirty (30) days written notice to the other party.,Termination,0,augmented
Either party may terminate this Agreement by providing thirty (30) days written notice to the other party.,Termination,0,augmented
The parties hereby agree that either party may terminate this agreement by providing thirty (30) days written notice to the other party.,Termination,0,augmented
Either party may terminate this Agreement by providing thirty (30) days written notice to the other party.,Termination,0,augmented
It is expressly understood and agreed that either party can terminate this agreement by providing thirty (30) days written notice to the other party.,Termination,0,augmented
Either party may terminate this Agreement by providing thirty (30) days written notice to the other party.,Termination,0,augmented
