invoice_no,vendor,company_id,base_amount,gst_rate,gst_amount,total_amount,day_of_week,hour,month,is_weekend,is_late_hour,is_round_amount,vendor_transaction_count,vendor_avg_amount,amount_deviation_ratio,gst_mismatch,amount_to_gst_ratio,is_fraud
INV-000000,LegitVendor_014,COMP_038,38895.47,12,4667.46,43562.92,1,20,7,0,1,0,1,43562.92,0.0,0,8.3315,0
INV-000001,SuspiciousVendor_003,COMP_022,466342.3,5,23317.11,489659.41,0,20,10,0,1,0,1,489659.41,0.0,0,19.9991,1
INV-000002,SuspiciousVendor_000,COMP_037,4503.56,18,810.64,5314.2,2,22,12,0,1,0,1,5314.2,0.0,0,5.5487,1
INV-000003,LegitVendor_061,COMP_015,11217.78,18,2019.2,13236.98,3,20,5,0,1,0,1,13236.98,0.0,0,5.5528,0
INV-000004,LegitVendor_063,COMP_043,36330.52,12,4359.66,40690.18,5,20,6,1,1,0,1,40690.18,0.0,0,8.3314,0
INV-000005,LegitVendor_059,COMP_017,59811.56,18,10766.08,70577.64,3,20,10,0,1,0,1,70577.64,0.0,0,5.555,0
INV-000006,SuspiciousVendor_001,COMP_008,200000.0,5,10000.0,210000.0,6,20,11,1,1,1,1,210000.0,0.0,0,19.998,1
INV-000007,LegitVendor_049,COMP_013,12886.17,12,1546.34,14432.51,0,20,10,0,1,0,1,14432.51,0.0,0,8.3279,0
INV-000008,LegitVendor_062,COMP_003,137185.59,12,16462.27,153647.86,2,20,3,0,1,0,1,153647.86,0.0,0,8.3328,0
INV-000009,LegitVendor_013,COMP_009,6562.31,12,787.48,7349.78,2,20,11,0,1,0,1,7349.78,0.0,0,8.3228,0
INV-000010,LegitVendor_059,COMP_023,3294.62,12,395.35,3689.98,4,20,9,0,1,0,2,37133.81,0.9006,0,8.3123,0
INV-000011,SuspiciousVendor_006,COMP_044,143370.03,18,25806.61,209971.69,1,20,10,0,1,0,1,209971.69,0.0,0,5.5553,1
INV-000012,LegitVendor_072,COMP_040,63914.28,12,7669.71,71584.0,4,20,11,0,1,0,1,71584.0,0.0,0,8.3322,0
INV-000013,SuspiciousVendor_004,COMP_032,118993.91,12,14279.27,133273.18,2,20,7,0,1,0,1,133273.18,0.0,0,8.3327,1
INV-000014,LegitVendor_013,COMP_004,2918.59,5,145.93,3064.52,1,20,10,0,1,0,2,5207.15,0.4114,0,19.8639,0
INV-000015,LegitVendor_041,COMP_014,24451.74,12,2934.21,27385.94,6,20,4,1,1,0,1,27385.94,0.0,0,8.3305,0
INV-000016,LegitVendor_022,COMP_031,15385.66,12,1846.28,17231.94,3,20,3,0,1,0,1,17231.94,0.0,0,8.3288,0
